"","User_ID","Product_ID","Gender","Age","Occupation","City_Category","Marital_Status","Product_Category","Purchase"
"1",1004658,1072,1,35,5,2,2,8,2893
"2",1004593,2393,0,48,2,2,2,11,754
"3",1000368,438,1,35,1,3,1,1,15421
"4",1004322,571,0,55,7,2,1,3,8358
"5",1004276,305,0,48,1,3,2,8,6449
"6",1002777,2383,1,25,5,2,1,1,8954
"7",1002393,839,1,62,14,3,2,8,7776
"8",1004918,21,0,25,13,3,1,1,9241
"9",1004238,1234,1,45,17,2,1,1,12415
"10",1002941,2428,1,45,13,2,2,5,3882
"11",1002818,566,1,35,13,2,1,1,12220
"12",1001679,2097,1,35,13,2,2,5,3833
"13",1004524,1741,1,35,3,1,2,1,12237
"14",1002896,3560,1,25,15,2,1,5,5530
"15",1003768,1078,1,35,5,2,1,2,10540
"16",1001776,2082,1,35,1,2,2,5,3854
"17",1005913,534,0,25,1,2,1,1,14942
"18",1003363,1216,0,45,10,2,2,5,5506
"19",1005048,1785,0,45,8,3,2,8,3151
"20",1005151,250,1,25,20,3,1,1,15405
"21",1005605,1411,0,25,3,1,1,5,5646
"22",1003618,2369,1,62,18,1,2,5,3928
"23",1005277,565,1,35,21,2,1,3,8700
"24",1000523,3567,1,55,8,1,2,20,240
"25",1000284,2721,1,35,13,2,2,5,5646
"26",1001181,278,1,45,8,1,2,6,9924
"27",1002334,1862,0,62,8,2,2,5,3954
"28",1000984,2828,1,55,17,1,2,8,1158
"29",1001322,1071,1,62,1,1,1,10,14781
"30",1003180,2288,1,35,15,2,1,5,4138
"31",1001101,964,1,45,2,1,1,11,3579
"32",1005002,1736,1,35,18,2,2,3,8365
"33",1002664,100,1,45,8,2,1,5,5539
"34",1005151,1077,1,25,20,3,1,11,5874
"35",1001983,2344,1,35,15,1,1,5,6946
"36",1003519,931,0,35,15,1,2,8,4719
"37",1001031,363,1,45,17,3,2,1,15329
"38",1003855,1133,1,35,18,3,2,1,9291
"39",1003620,3388,1,35,8,1,1,2,7690
"40",1000723,2444,1,35,13,3,2,16,6732
"41",1004207,3084,1,45,2,3,1,5,6938
"42",1006004,1771,0,35,16,3,1,2,5003
"43",1004213,1686,1,45,8,2,1,5,3913
"44",1003125,2560,1,35,8,1,1,1,12087
"45",1002026,876,1,55,17,3,2,8,6421
"46",1005621,1186,1,35,8,1,1,1,9620
"47",1005107,2155,0,48,1,2,1,11,2073
"48",1001317,3291,1,48,8,2,2,5,5490
"49",1002909,385,1,35,8,1,1,1,9136
"50",1001413,181,1,25,4,2,2,16,10009
"51",1001860,2975,1,62,17,3,1,6,9812
"52",1001667,3356,1,55,17,2,1,8,6458
"53",1003868,1729,1,25,13,3,1,5,4123
"54",1000832,2708,1,25,3,3,1,5,5661
"55",1000919,1683,0,45,2,3,1,5,7236
"56",1002611,454,1,35,4,2,1,8,6155
"57",1003056,1193,1,35,19,3,2,1,9063
"58",1004688,823,1,35,10,3,2,8,6385
"59",1002638,1953,1,35,15,2,1,5,5566
"60",1004417,1021,1,35,16,1,2,1,14956
"61",1003410,1700,1,45,2,2,2,11,4780
"62",1000549,3322,1,35,7,1,1,1,9558
"63",1002422,1126,0,55,10,3,2,5,7173
"64",1003934,2022,1,35,1,2,1,5,4012
"65",1002088,2349,1,55,8,1,2,1,15374
"66",1004821,3002,1,25,20,3,1,8,6251
"67",1003726,3359,1,35,18,3,2,1,12665
"68",1000753,1755,1,17,11,3,1,4,1780
"69",1001242,2429,0,45,1,1,2,5,6986
"70",1000533,1516,1,35,13,1,1,1,9431
"71",1002402,2136,1,48,18,2,1,8,4614
"72",1000058,1901,1,35,3,2,1,13,308
"73",1001129,3538,1,45,18,3,1,2,10539
"74",1000302,988,1,25,5,2,1,8,1215
"75",1005102,1159,1,35,13,3,1,11,5831
"76",1000330,834,1,62,8,3,1,2,13412
"77",1003380,2749,1,55,1,2,2,5,5606
"78",1005784,2379,1,25,11,3,1,5,2447
"79",1004879,1133,1,35,4,1,1,1,9026
"80",1005220,50,1,35,8,2,1,6,10224
"81",1001894,1078,0,45,8,2,2,2,13294
"82",1002088,2249,1,55,8,1,2,11,3425
"83",1003370,250,1,25,5,3,1,1,12148
"84",1003604,2025,0,17,11,3,1,5,6936
"85",1002078,3625,1,25,5,3,1,8,4452
"86",1004643,3245,1,35,1,1,1,1,5990
"87",1003263,566,1,55,12,1,1,1,12667
"88",1004734,1020,1,55,2,2,2,15,16657
"89",1002747,655,0,25,5,2,1,5,5436
"90",1004277,2957,1,45,17,1,1,5,5672
"91",1000474,1129,1,35,18,2,1,8,6311
"92",1004052,1379,1,35,3,2,1,15,14186
"93",1004354,2407,1,45,15,2,1,5,1068
"94",1000710,1974,1,35,21,1,1,8,4486
"95",1003032,3084,1,35,1,1,2,5,7095
"96",1002645,50,1,35,8,1,1,6,15683
"97",1003280,1280,1,35,8,2,1,5,4100
"98",1004386,1865,1,35,6,2,1,5,5427
"99",1001004,3057,1,35,4,2,1,5,5362
"100",1003469,1091,1,48,18,2,2,8,7727
"101",1002787,213,1,35,5,1,1,5,5509
"102",1005369,3181,1,35,16,1,1,5,3845
"103",1004454,2129,1,35,21,3,1,11,4743
"104",1001472,2094,1,35,8,3,1,1,9008
"105",1005319,1385,1,25,18,2,1,1,12323
"106",1001298,1383,1,45,7,2,1,1,12248
"107",1005422,1903,1,55,8,1,2,10,17480
"108",1001542,2035,1,25,18,3,1,1,12085
"109",1004526,3291,1,35,21,2,2,5,4025
"110",1004056,963,1,17,11,2,1,1,12134
"111",1000979,1385,1,17,11,1,1,1,15436
"112",1001112,1175,1,25,7,1,1,8,3061
"113",1001941,1721,1,45,18,1,1,5,5567
"114",1001572,1386,0,35,4,3,2,8,3059
"115",1000516,483,0,62,15,3,1,1,9075
"116",1002818,2658,1,35,13,2,1,1,6088
"117",1003576,1737,1,55,8,2,2,1,15221
"118",1004611,1017,0,25,5,1,1,1,12466
"119",1001836,2399,1,35,1,1,1,5,6996
"120",1001613,2035,1,25,21,1,1,1,12528
"121",1002071,565,1,48,8,3,2,3,8590
"122",1001802,571,1,25,5,1,1,3,8765
"123",1004064,1656,1,48,1,1,2,8,4519
"124",1005831,2471,1,35,2,1,2,11,3548
"125",1001922,2125,0,35,8,2,1,5,3851
"126",1005596,1086,1,45,13,2,1,10,18104
"127",1000774,1538,1,25,5,1,1,6,10240
"128",1003661,2067,1,45,13,3,2,1,15044
"129",1001624,585,1,35,1,2,2,1,15541
"130",1005345,1021,0,35,18,3,2,1,12452
"131",1003679,971,1,35,5,1,1,5,7117
"132",1001390,937,1,45,17,3,2,8,4509
"133",1000121,250,1,45,8,3,1,1,15064
"134",1004484,1017,0,35,18,3,1,1,15627
"135",1005894,1106,1,45,1,3,1,1,12219
"136",1000713,1017,1,45,8,2,1,1,9051
"137",1005767,2171,1,35,3,2,1,2,10809
"138",1003401,781,1,45,8,2,1,1,12423
"139",1002106,476,0,25,21,1,2,5,4047
"140",1001117,3523,1,25,15,2,1,5,5490
"141",1005788,1189,1,35,1,1,1,1,9491
"142",1003312,2395,0,25,5,1,1,8,1271
"143",1002765,1015,1,55,8,3,2,8,7979
"144",1000307,945,1,55,17,2,2,8,7681
"145",1005998,152,1,25,5,2,1,8,4571
"146",1005389,1833,1,48,8,3,2,2,5006
"147",1003018,3131,1,45,1,2,1,11,4675
"148",1003145,1781,1,25,5,1,1,5,6964
"149",1000329,1394,1,45,8,1,1,6,9711
"150",1002079,1185,1,17,11,3,1,1,14944
"151",1001244,2384,1,35,5,1,2,3,8720
"152",1003768,823,1,35,5,2,1,8,7877
"153",1004855,48,1,35,13,2,1,3,2025
"154",1002860,758,1,45,18,1,1,5,2626
"155",1002497,2820,0,55,15,1,2,8,7727
"156",1002994,736,1,45,6,1,2,8,7807
"157",1000184,848,0,35,1,3,2,5,5389
"158",1000008,1560,1,35,13,3,2,8,6120
"159",1001051,325,0,35,1,1,2,5,5486
"160",1004725,3574,1,45,6,1,1,4,1246
"161",1000957,1051,1,45,2,3,2,8,7745
"162",1001884,105,1,48,21,2,2,1,12662
"163",1002928,368,1,35,3,2,2,8,2871
"164",1003815,1672,1,35,18,3,1,1,15474
"165",1001321,2077,0,35,15,3,2,1,5948
"166",1003610,3336,1,25,7,2,1,1,12408
"167",1000262,2225,0,35,2,3,1,1,15556
"168",1002409,2215,0,45,10,2,2,5,4050
"169",1001695,1187,1,35,2,3,2,1,12164
"170",1003859,250,1,35,1,3,1,1,15409
"171",1000726,488,0,35,10,3,2,8,7675
"172",1005627,3054,1,35,1,1,2,1,12822
"173",1002860,157,1,45,18,1,1,5,2381
"174",1003603,2730,0,45,8,2,2,16,10255
"175",1002886,2748,1,25,5,2,1,1,15138
"176",1001887,2813,1,62,16,3,2,8,7984
"177",1001694,2328,1,35,13,2,2,1,12320
"178",1001264,1981,1,35,2,1,1,1,9514
"179",1000588,2097,0,35,12,2,1,5,5571
"180",1004484,343,0,35,18,3,1,5,7169
"181",1005956,618,0,25,5,2,1,1,9186
"182",1003036,570,1,62,14,3,1,8,7947
"183",1005005,1223,1,48,17,2,1,8,6334
"184",1002173,1218,1,55,14,3,1,8,4633
"185",1001592,2542,1,45,8,2,2,5,6912
"186",1004071,2068,1,35,18,3,2,1,6589
"187",1002340,1048,1,45,3,1,1,6,16388
"188",1003173,3158,1,35,13,3,2,1,15429
"189",1004345,338,0,35,15,2,1,5,5460
"190",1002486,1097,1,25,13,1,1,5,7041
"191",1000770,2921,1,25,5,2,2,1,3002
"192",1001635,1034,1,35,1,2,1,6,15863
"193",1002223,1793,1,35,3,2,2,8,4691
"194",1005303,1746,0,62,7,3,2,1,9640
"195",1005382,3075,1,25,5,3,2,1,5942
"196",1004207,2247,1,45,2,3,1,8,6452
"197",1001799,2913,1,45,12,2,2,8,6308
"198",1002350,250,1,25,5,3,2,1,15066
"199",1003476,2532,1,55,1,2,2,11,753
"200",1000112,2824,1,35,17,3,2,3,4189
"201",1000343,963,0,45,4,2,1,1,12431
"202",1003080,103,1,35,21,1,2,2,8099
"203",1003434,3483,1,25,5,2,1,5,5366
"204",1005446,998,0,55,2,3,2,5,7052
"205",1001164,566,0,35,20,1,2,1,12443
"206",1000278,2304,1,48,19,3,2,1,15037
